Time	Force
2.79775	-500.45234
2.79780	-505.46547
2.79785	-490.19821
2.79790	-507.74417
2.79795	-515.49174
2.79800	-497.03430
2.79805	-499.54086
2.79810	-510.47860
2.79815	-498.85726
2.79820	-507.28843
2.79825	-487.46378
2.79830	-509.56713
2.79835	-496.35069
2.79840	-494.07199
2.79845	-513.44091
2.79850	-488.14739
2.79855	-511.61795
2.79860	-510.02287
2.79865	-510.02287
2.79870	-508.65565
2.79875	-510.02287
2.79880	-499.76873
2.79885	-503.41465
2.79890	-511.16221
2.79895	-497.94578
2.79900	-507.97204
2.79905	-494.98347
2.79910	-498.62939
2.79915	-512.52943
2.79920	-499.99660
2.79925	-509.33926
2.79930	-503.64252
2.79935	-504.55400
2.79940	-511.61795
2.79945	-495.21134
2.79950	-512.75730
2.79955	-488.60312
2.79960	-513.44091
2.79965	-494.75560
2.79970	-489.05886
2.79975	-512.30156
2.79980	-491.10969
2.79985	-496.57856
2.79990	-486.55230
2.79995	-500.68021
2.80000	-512.07369
2.80005	-492.24904
2.80010	-513.44091
2.80015	-496.57856
2.80020	-497.94578
2.80025	-509.33926
2.80030	-511.84582
2.80035	-497.03430
2.80040	-502.27530
2.80045	-510.02287
2.80050	-512.98517
2.80055	-487.46378
2.80060	-491.10969
2.80065	-515.94748
2.80070	-508.19991
2.80075	-509.79500
2.80080	-492.70478
2.80085	-493.38839
2.80090	-498.62939
2.80095	-497.26217
2.80100	-495.66708
2.80105	-513.21304
2.80110	-500.22447
2.80115	-514.80813
2.80120	-509.11139
2.80125	-497.03430
2.80130	-504.78187
2.80135	-502.04743
2.80140	-512.07369
2.80145	-514.35239
2.80150	-493.84412
2.80155	-511.39008
2.80160	-502.04743
2.80165	-504.32613
2.80170	-512.52943
2.80175	-487.46378
2.80180	-512.52943
2.80185	-510.70647
2.80190	-507.97204
2.80195	-486.55230
2.80200	-505.92121
2.80205	-499.54086
2.80210	-486.32443
2.80215	-497.03430
2.80220	-486.78017
2.80225	-512.07369
2.80230	-489.28673
2.80235	-512.98517
2.80240	-507.06056
2.80245	-512.52943
2.80250	-486.09656
2.80255	-511.61795
2.80260	-494.07199
2.80265	-492.47691
2.80270	-509.79500
2.80275	-500.45234
2.80280	-502.95891
2.80285	-508.65565
2.80290	-487.46378
2.80295	-507.28843
2.80300	-481.53917
2.80305	-507.28843
2.80310	-480.85556
2.80315	-507.51630
2.80320	-486.78017
2.80325	-488.83099
2.80330	-481.53917
2.80335	-505.46547
2.80340	-491.10969
2.80345	-505.46547
2.80350	-485.86869
2.80355	-488.60312
2.80360	-488.14739
2.80365	-502.73104
2.80370	-479.03260
2.80375	-506.14908
2.80380	-488.14739
2.80385	-503.87039
2.80390	-505.00973
2.80395	-490.19821
2.80400	-506.37695
2.80405	-483.36212
2.80410	-506.14908
2.80415	-492.93265
2.80420	-501.59169
2.80425	-478.12112
2.80430	-505.92121
2.80435	-505.23760
2.80440	-502.95891
2.80445	-505.00973
2.80450	-494.29986
2.80455	-495.21134
2.80460	-506.60482
2.80465	-478.34899
2.80470	-499.99660
2.80475	-506.60482
2.80480	-504.09826
2.80485	-502.50317
2.80490	-502.95891
